Delivery Date;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
08.09.2019;28.80;27.99;26.60;26.58;25.85;26.40;29.92;31.08;32.50;34.60;34.50;35.40;32.40;31.50;29.94;29.59;29.96;34.45;38.92;39.96;40.92;40.29;38.93;35.45
07.09.2019;29.62;28.01;27.38;27.01;28.00;28.00;32.00;33.75;35.62;37.46;37.08;37.10;34.14;31.99;31.01;31.82;32.14;35.02;39.71;41.83;41.92;39.01;38.86;34.27
06.09.2019;26.81;24.95;24.74;24.01;25.06;26.65;35.79;40.94;41.28;39.35;36.13;34.02;31.50;31.20;31.19;31.30;32.22;35.85;39.67;40.97;41.96;39.40;35.89;32.95
05.09.2019;27.75;25.23;24.90;24.17;24.92;26.98;33.11;39.25;40.88;38.38;34.66;33.63;31.48;31.96;31.52;30.60;31.64;33.74;37.57;40.00;38.27;35.99;33.70;29.70
04.09.2019;31.70;27.98;27.22;25.72;26.04;29.61;37.10;44.90;43.95;39.81;36.50;34.00;30.13;30.90;30.90;31.37;32.27;36.25;39.29;43.56;43.90;39.41;36.60;32.53
03.09.2019;30.59;28.87;27.40;27.40;27.77;28.70;37.09;42.51;44.90;37.59;36.03;35.90;32.80;32.20;31.98;32.05;33.14;37.70;44.70;54.00;51.80;45.50;41.68;36.10
02.09.2019;32.00;29.00;28.74;27.05;30.01;31.01;39.88;53.05;56.68;50.50;46.79;45.51;39.13;38.23;37.81;31.55;33.39;39.34;43.01;51.14;49.40;40.00;36.70;32.62
01.09.2019;31.00;28.15;28.20;27.51;27.10;25.71;28.50;30.15;30.16;30.41;28.63;29.10;26.31;24.41;22.64;23.51;25.10;32.89;36.90;40.99;42.31;40.52;40.05;36.75
31.08.2019;37.57;33.88;33.19;32.00;31.31;30.59;34.05;34.02;34.73;34.71;33.59;31.26;30.71;29.56;29.01;29.03;30.02;34.58;38.31;44.34;43.62;40.12;37.99;34.00
30.08.2019;36.05;34.22;33.00;32.50;32.20;35.00;41.50;53.82;53.20;48.26;44.76;43.50;38.73;37.10;35.83;35.90;37.50;44.90;50.00;58.04;57.24;49.13;43.49;36.71
29.08.2019;36.08;36.00;34.00;34.00;35.29;35.99;45.29;60.00;61.64;49.96;50.53;49.67;46.00;45.12;44.26;43.00;48.11;52.95;60.44;68.99;63.17;51.01;47.50;40.97
28.08.2019;36.94;35.34;34.00;33.08;34.10;35.87;45.69;57.25;56.96;54.77;52.51;49.99;44.55;43.80;42.66;42.55;46.08;49.09;57.86;68.14;65.72;59.59;51.17;40.00
27.08.2019;35.19;33.54;33.00;32.01;32.97;35.20;49.02;61.99;55.37;47.93;44.66;42.71;39.98;39.00;39.62;39.99;42.38;47.00;56.45;61.04;57.95;48.57;43.50;36.95
26.08.2019;31.04;30.08;30.41;29.72;29.87;32.28;43.48;51.96;51.68;45.06;41.00;39.98;38.88;38.43;37.22;36.94;37.66;44.00;54.33;62.82;59.07;50.91;41.00;36.01
25.08.2019;29.70;27.80;28.52;26.90;27.00;27.02;29.49;30.50;31.00;31.00;30.80;29.66;31.08;29.18;27.40;27.40;29.80;33.80;36.90;38.80;38.90;40.60;36.91;35.80
